date,AAPL,MSFT,JNJ,V,WMT,PG,JPM,UNH,HD,MA,DIS,BAC,XOM,CVX,PFE,KO,PEP,CSCO,IBM,MRK,WFC,INTC,ORCL,AMZN,MMM,CAT,T,GE,C
2020-11-30,3.049205003229665e-12,1.164928347590447e-08,2.0593256074941634e-05,1.1494733776336862e-08,0.9998045026291068,1.2986422970250574e-05,3.94010073877916e-10,2.2973739117494177e-09,1.7993970552057767e-09,1.629545758974655e-09,1.4163264198791272e-09,1.3229133852939815e-10,1.294231339037179e-09,1.1549144403465163e-10,3.7334530397931904e-06,9.44409642906533e-08,1.1400278906766717e-07,8.79700597378663e-08,1.2548163425546264e-08,8.169172130229793e-05,1.1385054719539949e-10,4.528527933799367e-09,5.096927583393111e-06,6.752786908331042e-05,3.074082163164633e-06,1.3676722428894919e-08,4.3398782586412155e-07,1.4153431384538324e-10,2.5044223519038613e-12
2020-12-31,3.0487160246481482e-12,1.1648135968007458e-08,2.0592135111479668e-05,1.1493564043540607e-08,0.999804512937218,1.2985678862596956e-05,3.9396254970774917e-10,2.297123450174751e-09,1.7991838579409963e-09,1.6293607815925607e-09,1.4161779170214833e-09,1.3227487276546515e-10,1.2940924776247803e-09,1.154762177324292e-10,3.73321930182215e-06,9.443267777669823e-08,1.1399200987020934e-07,8.796244926616845e-08,1.2546948528329488e-08,8.168750850625759e-05,1.1383588415486276e-10,4.5279990629438874e-09,5.096553495086135e-06,6.752449196832774e-05,3.0739054476163976e-06,1.3675442431966081e-08,4.33952303202208e-07,1.415183026347836e-10,2.5040490525281215e-12
2021-01-29,3.0492515979811347e-12,1.1649459918279874e-08,2.0593337438977267e-05,1.1495060923316479e-08,0.9998044997494832,1.2986634096350065e-05,3.940187413625625e-10,2.2974311705843064e-09,1.7994446690004772e-09,1.6295773342186397e-09,1.4163636358523073e-09,1.3229605323827515e-10,1.2942721811569268e-09,1.1549443675055173e-10,3.733499365717338e-06,9.444300934388819e-08,1.1400386496854861e-07,8.79709796967372e-08,1.2548430528986964e-08,8.16934229363406e-05,1.138523433778097e-10,4.528683776553897e-09,5.0969465220623444e-06,6.752863703758298e-05,3.0741239574616286e-06,1.3677146549898656e-08,4.3399268410368634e-07,1.4153795869884794e-10,2.5045333217825363e-12
2021-02-26,9.071080496449164e-11,1.4191075927274543e-07,0.12355962920348498,2.755128397770833e-07,0.3985229619846115,3.497200062312138e-05,1.5989642151208518e-08,1.601647274140399e-07,6.367089805984807e-08,3.442186470162957e-08,5.622378034280113e-08,6.824180005027613e-09,5.291760276553876e-08,8.327613627508695e-09,4.8513357800348365e-05,4.503028177695892e-06,8.667572216778204e-07,6.141026131385582e-07,1.950054080429447e-07,0.3198990473757967,4.445796484961288e-09,1.2186051030191018e-07,1.7681355961833887e-05,0.15721693031737508,0.0006880812174428429,2.6415388977376176e-07,4.782164897040519e-06,1.5330601087437168e-08,2.8316945204661885e-10
2021-03-31,2.7868228582211153e-06,0.0001615504001015498,0.1223309129947422,0.0003118179974575754,0.33713016024981596,0.1490363830535306,0.00018574770601916508,0.015346443022689851,0.0022634549211319097,7.367671064224227e-05,0.0008824139655773072,5.7742750962569226e-05,0.00021294271363285714,0.00011803735406598574,0.027009155198864924,0.0016547685058428301,0.00191578057281101,0.0005588296341279497,0.0007903015046345455,0.014319199532801797,5.416552239966014e-05,0.0013871489933370011,0.016654338564923325,0.13270366729661948,0.14925080912059355,0.0006993672098135292,0.0246474832504712,0.0002102836208607115,3.06308086704649e-05
2021-04-30,1.9439118379878465e-05,0.00060531956168423,0.09239763010407454,0.0010450358074173048,0.2911757314054202,0.31784747509703726,0.0007581388980072229,0.0027785488182513426,0.0036768490177391615,0.00039121586627933086,0.0013126460039680754,0.00033465556432007884,0.00034934093058986766,0.0003867094102212774,0.022630951720365017,0.003789837968874542,0.008359070255608302,0.00778865558849967,0.002059491477048002,0.009545724077102257,0.00022809652855516188,0.00334128607842431,0.07260799162488706,0.0038677551568566887,0.11855440344347823,0.001067878746766359,0.0321098357805913,0.0007395907066154008,0.00023069524293827545
2021-05-28,9.789094382780426e-06,0.0007032085246546141,0.030869770416571116,0.0006052602847377094,0.2415144861721529,0.3575106205483054,0.0005739755953187977,0.0017956399320338962,0.002483545158312836,0.00020986867654807976,0.0010526664673000078,0.0002652185826829892,0.000507994953881632,0.000299557639568141,0.021527681627144708,0.0016961423430755659,0.00944388425999362,0.006260639779149352,0.0017712617867192018,0.03601683084636856,0.00019695237359574117,0.003106502913529139,0.12765222691191253,0.003406753866808759,0.1163645896379397,0.0007639534063792528,0.03272476762203031,0.0004185801289360184,0.0002476304499666309
2021-06-30,2.3933449884418663e-06,0.000313246514721108,0.006145690895380782,0.00031929027326440477,0.1247471315405575,0.303708274489724,0.0008843132261508491,0.007079766947327358,0.003009710757456457,9.311659874307505e-05,0.0012657179770210465,0.00033578268942897785,0.0005124322078751098,0.00015375967828177398,0.1282916932121391,0.0020645137627559804,0.013287036864065632,0.002765458581248242,0.0025745934709855553,0.026435702990294428,0.00023813506028906947,0.003469818611659368,0.023126882904953766,0.004984400674232346,0.16448450915362356,0.000980617228918327,0.17748801143014556,0.0004127645653865202,0.0008252343483817284
2021-07-30,2.1144175585592137e-05,0.0008312725672198706,0.004379251160205817,0.0005976830624405578,0.12481519414330389,0.3036701703862453,0.001296877396283109,0.0045074149784763776,0.0041713537043312245,0.0001810215621122415,0.0013975029112980092,0.0006752636177288928,0.0006793820617523445,0.0002867785312011256,0.13885047390812227,0.0027637233764737537,0.015344133964885669,0.0038477273740582223,0.004470031066977451,0.012133627208488838,0.00046499365198007683,0.004162986445323585,0.019824459720888928,0.006292628185256185,0.16363781313476364,0.0011834287309561338,0.17748801088125948,0.0007723458358578384,0.0012533062565235195
2021-08-31,2.3025139542490383e-05,0.0008981738408076157,0.005417756584396541,0.0005965033753857178,0.12484915853011688,0.3035773370500787,0.0013801847810399933,0.004935523848085606,0.005417277557872753,0.00017809745759445134,0.001565036114263602,0.0007208399259628703,0.0007489342920789039,0.000293036042733893,0.1385301414602182,0.002811433536453722,0.016910692022544634,0.004000736598797089,0.004208115607421242,0.010438998992145822,0.00047642003120304814,0.0036975618302350745,0.018388115771236307,0.0059236109068514205,0.16313327173199485,0.0012057032958726094,0.17748802578238274,0.0008632747588707627,0.0013230131338124622
