date,kappa,turnover,n_used,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,AMGN,CRM,HON,AMZN,NVDA,SHW
2020-11-30,1.2783531374304715,2.5763925386985753e-08,29,2.6990931622694735e-09,4.2365845925338676e-11,2.460677396705009e-13,3.0869199302489733e-09,1.1880122954844458e-08,2.130621755616806e-11,8.996889602166154e-10,6.813222414665572e-12,4.977842762466334e-11,9.793069775875202e-11,1.531615080012751e-09,2.7696609584382375e-10,1.5644476336328667e-06,1.2017067529052247e-10,1.692048748635046e-08,1.461722182892174e-09,1.5078713624819765e-07,1.7082733652217042e-06,1.4001567517897554e-09,5.098800159874723e-09,,1.326708824668388e-07,6.65115658066621e-11,9.988536584348342e-10,2.848523571901613e-09,0.999592600215074,8.029689573911665e-07,0.00040277523654606016,,2.119017057643993e-07,3.990626412361002e-09,,,,
2020-12-31,1.084148585691886,2.3612589636684004e-08,29,2.69902024195124e-09,4.236443330386572e-11,2.4606560025643004e-13,3.0868437412017675e-09,1.1879895568562608e-08,2.1305854764401184e-11,8.996619802441571e-10,6.8130980219592204e-12,4.977696871324657e-11,9.792746222179722e-11,1.5315704766166964e-09,2.7695872177629223e-10,1.5644278154437305e-06,1.2016771823086052e-10,1.692007493253749e-08,1.4616926173518992e-09,1.5078428497536223e-07,1.7082630274545321e-06,1.400116404185798e-09,5.098698912775188e-09,,1.3266916717688743e-07,6.651008780906537e-11,9.988360341838054e-10,2.8484592017014403e-09,0.9995926120213687,8.029615738161356e-07,0.00040276347652855803,,2.1189873157493792e-07,3.990561474069788e-09,,,,
2021-01-29,1.1420057378248987,0.0001875945124299707,29,5.8370545230885444e-09,1.1040981753537195e-10,8.269072666383875e-13,6.6721313526620035e-09,2.433856744776056e-08,5.7094740073015255e-11,2.0369306846583806e-09,1.933214460410455e-11,1.2846732122847752e-10,2.444503720969942e-10,3.3949002517847117e-09,6.591632237784205e-10,2.4701157839662656e-06,2.9809711208821816e-10,3.356089061006793e-08,3.230696327846087e-09,2.7616522968779464e-07,2.6259827697136363e-06,3.101737746530568e-09,1.0716646236725984e-08,,2.4007118771381915e-07,1.6891611362980704e-10,2.245113830521035e-09,6.124150400615122e-09,0.9996835785762549,1.3607301431155841e-06,0.00030896622031348136,,3.7074278533524234e-07,8.449954804847594e-09,,,,
2021-02-26,1.1494574380263056,0.00010748420420494433,29,3.492884056732202e-09,5.846957615865755e-11,3.702098689075356e-13,3.992508510172751e-09,1.5082619727943087e-08,2.969404154348933e-11,1.1831242317245113e-09,9.68236222111754e-12,6.848299339459838e-11,1.332087243140872e-10,1.9990711281452812e-09,3.7060425592894303e-10,1.8182609874893365e-06,1.6307342686161362e-10,2.1249377220223287e-08,1.9063507806045056e-09,1.8439430851442472e-07,1.970684727357905e-06,1.8276506120835617e-09,6.5316948932068956e-09,,1.6156737182254703e-07,9.100804695773149e-11,1.3102651510180298e-09,3.678982016010539e-09,0.9996318686872119,9.644234871970993e-07,0.0003627083224159017,,2.5535270953069626e-07,5.127658228375252e-09,,,,
2021-03-31,1.1394451811994015,0.8032174213085805,29,4.877540869128684e-09,2.254020020157913e-07,8.900628421883699e-09,7.270771569609372e-07,1.2248924446142473e-05,9.72338383076229e-07,2.4012840497054106e-06,4.388496812243593e-08,2.8248253166784884e-07,6.098991725270002e-06,1.3037971558853494e-06,4.694386943325185e-06,6.872959011478214e-05,4.0026625415163577e-07,6.594767151821105e-06,0.00011176022850580335,0.10175555964823801,6.651708223204323e-06,1.1577819016916074e-05,1.276392297235329e-06,,3.2981878505363224e-06,5.5217830441717225e-06,7.289793018752159e-06,2.4071795172260114e-06,0.5980231580329217,1.1459716895804842e-06,0.2999423617623101,,2.2566777104241163e-05,6.8774521023951e-07,,,,
2021-04-30,1.0714257292812317,0.18368741588253465,29,6.112462685955158e-11,3.6886925168898175e-08,1.9454428250059263e-10,1.4162149394842952e-07,1.6117688200248442e-05,8.570605130441999e-08,3.772205634154414e-07,4.601279970526712e-09,1.0944569608607162e-08,5.0693647734332836e-05,1.331625545194522e-07,2.2732225506700462e-06,5.464229449299572e-05,6.0665751140203e-08,2.6750091200608134e-06,0.068698259742086,0.12491287017092637,4.18469588583468e-09,4.5661176070857704e-07,9.621467190419529e-08,,5.4732673086183554e-05,2.765717395130729e-07,4.3171547655411085e-07,6.290023621956218e-07,0.5315749105058991,1.157603678520876e-07,0.2746258337279203,,4.029091584380215e-06,1.0110046674817647e-07,,,,
2021-05-28,1.1217042317290056,0.22884320508072456,29,3.957032833192916e-07,0.00010666499841523701,6.012237980215272e-06,0.00017347882625932037,0.0033265938822225013,7.005948482805597e-05,0.00022363653773454427,5.5924988862810824e-05,3.852360166573876e-05,0.001533223231288988,0.00024818635035191963,0.0006484086795390541,0.003441950676440817,7.78916148389098e-05,0.00034327429859621386,0.07168571716024538,0.012249317180425332,0.0010485723829158152,0.00013514516972067627,0.0002576291989451906,,0.09632753529605804,0.0004614866154207205,0.0003175219390000789,0.00014198406961674092,0.5315749103234858,0.0005720182644444322,0.2728677843604723,,0.0019120052164370348,0.00015414771050469058,,,,
2021-06-30,1.1081324789482225,0.405699084208447,29,1.6580387190613078e-07,1.2167721450474567e-05,7.682197426213251e-07,6.486294086481015e-05,0.0013699402347125864,6.099938209481434e-06,0.0002262047176148063,3.708247019907144e-06,3.3198940995743446e-05,0.0007955368130828567,0.0005009107963518701,0.0004492315191484572,0.0001548043862983331,3.485801899788153e-05,7.99119833741172e-05,0.03713439503138837,0.15648317697612507,0.0003036987963529943,3.9943963301383784e-05,0.058618018881588754,,0.04588575922376794,0.0002197604708540776,0.0002037854378194482,1.2586517155036456e-05,0.5068518384195906,0.00045530469607401,0.18991878366542395,,0.00013253993083794057,8.037707984754428e-06,,,,
2021-07-30,1.1516002550672484,0.1801873244735312,29,5.760227402064407e-06,0.00017370600469182685,4.7814700431738956e-05,0.0004174181166878947,0.001923433158054992,0.00012980590002609253,0.000520727577536404,8.892672531538582e-05,0.0004313907175463157,0.002405770188145134,0.0018830587081865753,0.002028852993608734,0.0005351153565661638,0.00026386592262233813,0.000664744325163482,0.0065729719536453375,0.13771252378117335,0.0006635023093071006,0.0004233482609180802,0.132877525860143,,0.005124176822642651,0.0010936648465458493,0.0006630128738351846,0.00018789048889286943,0.5073245387278583,0.0047047119149141396,0.18991878010247826,,0.0006513261334891662,0.0005616353021714235,,,,
2021-08-31,1.108512005120307,0.023176512014725783,29,5.470556832771334e-06,0.00015484866550335698,5.852129112830754e-05,0.0003691608606824866,0.0018132914134355305,0.0001143156920239615,0.00046015857655769184,9.450302834423316e-05,0.00037129099002532185,0.002525058522290685,0.001844056226734754,0.0022289361532252866,0.00042500464766551295,0.00021850155378755375,0.0004995560344714024,0.0019307962017785737,0.140522086769017,0.0004450999702869395,0.00047308305988462814,0.13289771329143188,,0.0017212161408220563,0.0008282797634584435,0.0005195717451861228,0.0001976240821784541,0.5156879215363491,0.002553640592610235,0.18991877662871837,,0.0005617771311691871,0.0005597388744001882,,,,
