method,date,turnover
D_state_action,2021-06-30,0.0
D_state_action,2021-07-30,0.0
D_state_action,2021-08-31,0.0
D_state_action,2021-09-30,0.0
D_state_action,2021-10-29,1.1431817564822895
D_state_action,2021-11-30,1.1431817564822895
D_state_action,2021-12-31,0.9082327993415659
D_state_action,2022-01-31,0.9082327993415659
D_state_action,2022-02-28,0.0
D_state_action,2022-03-31,0.0
D_state_action,2022-04-29,0.0
D_state_action,2022-05-31,0.0
D_state_action,2022-06-30,0.0
D_state_action,2022-07-29,0.0
D_state_action,2022-08-31,0.0
D_state_action,2022-09-30,0.0
D_state_action,2022-10-31,0.0
D_state_action,2022-11-30,0.0
D_state_action,2022-12-30,0.0
D_state_action,2023-01-31,0.0
D_state_action,2023-02-28,0.0
D_state_action,2023-03-31,0.0
D_state_action,2023-04-28,0.0
D_state_action,2023-05-31,0.0
D_state_action,2023-06-30,0.0
D_state_action,2023-07-31,0.0
D_state_action,2023-08-31,0.0
D_state_action,2023-09-29,0.0
D_state_action,2023-10-31,0.0
D_state_action,2023-11-30,0.0
D_state_action,2023-12-29,0.0
D_state_action,2024-01-31,0.0
D_state_action,2024-02-29,0.0
D_state_action,2024-03-28,0.0
D_state_action,2024-04-30,0.0
D_state_action,2024-05-31,0.0
D_state_action,2024-06-28,1.1508948330743791
D_state_action,2024-07-31,1.1508948330743791
D_state_action,2024-08-30,0.0
D_state_action,2024-09-30,0.0
D_state_action,2024-10-31,0.0
D_state_action,2024-11-29,0.0
D_state_action,2024-12-31,0.0
Historical_CVaR,2020-01-31,0.0
Historical_CVaR,2020-02-28,0.0
Historical_CVaR,2020-03-31,1.8237432538253795
Historical_CVaR,2020-04-30,1.392537331372195
Historical_CVaR,2020-05-29,1.9388466510422222
Historical_CVaR,2020-06-30,0.0
Historical_CVaR,2020-07-31,0.0
Historical_CVaR,2020-08-31,1.8649521386852075
Historical_CVaR,2020-09-30,0.5220332282669956
Historical_CVaR,2020-10-30,0.24596958553272893
Historical_CVaR,2020-11-30,1.828875081604414
Historical_CVaR,2020-12-31,0.0
Historical_CVaR,2021-01-29,0.0
Historical_CVaR,2021-02-26,0.0
Historical_CVaR,2021-03-31,0.0
Historical_CVaR,2021-04-30,0.0
Historical_CVaR,2021-05-28,0.0
Historical_CVaR,2021-06-30,0.0
Historical_CVaR,2021-07-30,0.0
Historical_CVaR,2021-08-31,0.0
Historical_CVaR,2021-09-30,0.0
Historical_CVaR,2021-10-29,0.0
Historical_CVaR,2021-11-30,0.0
Historical_CVaR,2021-12-31,0.0
Historical_CVaR,2022-01-31,0.0
Historical_CVaR,2022-02-28,0.0
Historical_CVaR,2022-03-31,0.0
Historical_CVaR,2022-04-29,0.9976678184415197
Historical_CVaR,2022-05-31,0.9976678184415197
Historical_CVaR,2022-06-30,0.0
Historical_CVaR,2022-07-29,0.0
Historical_CVaR,2022-08-31,0.0
Historical_CVaR,2022-09-30,0.0
Historical_CVaR,2022-10-31,0.0
Historical_CVaR,2022-11-30,0.0
Historical_CVaR,2022-12-30,0.0
Historical_CVaR,2023-01-31,0.0
Historical_CVaR,2023-02-28,0.0
Historical_CVaR,2023-03-31,0.0
Historical_CVaR,2023-04-28,0.0
Historical_CVaR,2023-05-31,0.0
Historical_CVaR,2023-06-30,0.0
Historical_CVaR,2023-07-31,0.0
Historical_CVaR,2023-08-31,0.0
Historical_CVaR,2023-09-29,0.0
Historical_CVaR,2023-10-31,0.0
Historical_CVaR,2023-11-30,0.0
Historical_CVaR,2023-12-29,0.0
Historical_CVaR,2024-01-31,0.0
Historical_CVaR,2024-02-29,0.0
Historical_CVaR,2024-03-28,0.0
Historical_CVaR,2024-04-30,0.0
Historical_CVaR,2024-05-31,0.0
Historical_CVaR,2024-06-28,1.1428984228941077
Historical_CVaR,2024-07-31,1.1428984228941077
Historical_CVaR,2024-08-30,1.2158444837869438
Historical_CVaR,2024-09-30,1.2158444837869438
Historical_CVaR,2024-10-31,0.0
Historical_CVaR,2024-11-29,0.0
Historical_CVaR,2024-12-31,0.0
