date,Technology,Communication,Financials,Healthcare,Industrials,Consumer,Energy,Utilities,Materials,Real Estate
2022-09-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-10-31,0.017293444218546363,0.014774875452467803,0.16361717679066917,0.3597906748339296,0.15449596830273718,0.21207242481279426,0.03498762914356601,0.034506948435592856,0.008086636906183201,0.0003742211035136239
2022-11-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-12-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-02-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-03-31,0.01703338035468546,0.017653098292119102,0.0899135746942358,0.4679095022811537,0.009846735523067677,0.2611013166947333,0.07718434401868009,0.0246340528664176,0.03460520061301637,0.00011879466189101953
2023-04-28,0.012911784467066364,0.0566047955054573,0.11310157798579012,0.3715048390374826,0.011695792569888692,0.3902639543959859,0.009367539056853419,0.02456609133403785,0.00996303573169117,2.0589915746524633e-05
2023-05-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-07-31,0.008152818478025693,0.025875275276525854,0.08042526075431027,0.34253801930189176,0.054044166589464315,0.33071676599747946,0.10290187935311386,0.04237215002146792,0.011560444723438187,0.001413219504282516
2023-08-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-09-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-10-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-11-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2023-12-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-02-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-03-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-04-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-05-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-06-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-07-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-08-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-09-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-10-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-11-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2024-12-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
