method,date,hhi,effective_n,max_weight
A_no_kappa,2023-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-09-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-12-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-02-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-03-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-04-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-05-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-06-28,0.05225706580111216,19.13616818452745,0.1102143310648731
A_no_kappa,2024-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-08-30,0.06956970039340588,14.374073689338246,0.1858428613473162
A_no_kappa,2024-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-11-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-12-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-02-28,0.14332138801616004,6.977325672336121,0.24330294618520626
B_fixed_kappa,2020-03-31,0.263905447345028,3.7892359178649597,0.32036890569196774
B_fixed_kappa,2020-04-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-05-29,0.2644154777702847,3.7819268691553924,0.3326065979251613
B_fixed_kappa,2020-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-07-31,0.24262825102796381,4.121531584896708,0.36969312511412517
B_fixed_kappa,2020-08-31,0.24969057097456357,4.004956999765409,0.3694148640795222
B_fixed_kappa,2020-09-30,0.25147071682107874,3.9766061537554664,0.369694517714988
B_fixed_kappa,2020-10-30,0.2120569664946559,4.715713973137502,0.2980872566217277
B_fixed_kappa,2020-11-30,0.22585664650973594,4.427587212745113,0.2884537793461163
B_fixed_kappa,2020-12-31,0.18945518935043215,5.278293001255914,0.25772552083007116
B_fixed_kappa,2021-01-29,0.21496840763318664,4.651846338771599,0.2773515411024014
B_fixed_kappa,2021-02-26,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-03-31,0.21575651526089995,4.634854242017984,0.3260552764813367
B_fixed_kappa,2021-04-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-05-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-06-30,0.10485505888574292,9.536974282658758,0.2430246234479796
B_fixed_kappa,2021-07-30,0.16229076339964274,6.161780122615415,0.3332748682273485
B_fixed_kappa,2021-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-09-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-10-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-12-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-02-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-03-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-04-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-05-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-07-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-09-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-10-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-12-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-02-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-03-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-04-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-05-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-07-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-09-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-10-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-12-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-01-31,0.009999999999999995,100.00000000000006,0.01
