date,event,net_return,loss,turnover,kappa,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
2023-10-13,daily,0.017712631222369116,-0.017712631222369116,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-16,daily,-0.0015028982602701118,0.0015028982602701118,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-17,daily,-0.0017335712329343573,0.0017335712329343573,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-18,daily,-0.0005519527600001765,0.0005519527600001765,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-19,daily,-0.005051546519941605,0.005051546519941605,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-20,daily,-0.0007553768786218221,0.0007553768786218221,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-23,daily,-0.002009526217610875,0.002009526217610875,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-24,daily,0.003262355489655555,-0.003262355489655555,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-25,daily,-0.007435815392747564,0.007435815392747564,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-26,daily,-0.0005912474332741432,0.0005912474332741432,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
