date,model,hhi,max_weight,n_eff
2021-08-31,B_fixed_kappa,0.15504228916891055,0.3437022891702884,6.449853168193045
2021-09-30,B_fixed_kappa,0.01,0.01,100.0
2021-10-29,B_fixed_kappa,0.01,0.01,100.0
2021-11-30,B_fixed_kappa,0.01,0.01,100.0
2021-12-31,B_fixed_kappa,0.01,0.01,100.0
2022-01-31,B_fixed_kappa,0.01,0.01,100.0
2022-02-28,B_fixed_kappa,0.01,0.01,100.0
2022-03-31,B_fixed_kappa,0.01,0.01,100.0
2022-04-29,B_fixed_kappa,0.01,0.01,100.0
2022-05-31,B_fixed_kappa,0.01,0.01,100.0
2022-06-30,B_fixed_kappa,0.01,0.01,100.0
2022-07-29,B_fixed_kappa,0.1206088279522709,0.2020320386865473,8.291267040549757
2022-08-31,B_fixed_kappa,0.01,0.01,100.0
2022-09-30,B_fixed_kappa,0.01,0.01,100.0
2022-10-31,B_fixed_kappa,0.01,0.01,100.0
2022-11-30,B_fixed_kappa,0.01,0.01,100.0
2022-12-30,B_fixed_kappa,0.01,0.01,100.0
2023-01-31,B_fixed_kappa,0.01,0.01,100.0
2023-02-28,B_fixed_kappa,0.01,0.01,100.0
2023-03-31,B_fixed_kappa,0.01,0.01,100.0
2023-04-28,B_fixed_kappa,0.01,0.01,100.0
2023-05-31,B_fixed_kappa,0.01,0.01,100.0
2023-06-30,B_fixed_kappa,0.01,0.01,100.0
2023-07-31,B_fixed_kappa,0.01,0.01,100.0
2023-08-31,B_fixed_kappa,0.01,0.01,100.0
2023-09-29,B_fixed_kappa,0.01,0.01,100.0
2023-10-31,B_fixed_kappa,0.01,0.01,100.0
2023-11-30,B_fixed_kappa,0.01,0.01,100.0
2023-12-29,B_fixed_kappa,0.01,0.01,100.0
2024-01-31,B_fixed_kappa,0.01,0.01,100.0
2024-02-29,B_fixed_kappa,0.01,0.01,100.0
2024-03-28,B_fixed_kappa,0.01,0.01,100.0
2024-04-30,B_fixed_kappa,0.01,0.01,100.0
2024-05-31,B_fixed_kappa,0.01,0.01,100.0
2024-06-28,B_fixed_kappa,0.01,0.01,100.0
2024-07-31,B_fixed_kappa,0.01,0.01,100.0
2024-08-30,B_fixed_kappa,0.01,0.01,100.0
2024-09-30,B_fixed_kappa,0.09582660614554005,0.23525519564385658,10.435515147862114
2024-10-31,B_fixed_kappa,0.01,0.01,100.0
2024-11-29,B_fixed_kappa,0.01,0.01,100.0
2024-12-31,B_fixed_kappa,0.01,0.01,100.0
2020-01-31,C_default,0.01,0.01,100.0
2020-02-28,C_default,0.01,0.01,100.0
2020-03-31,C_default,0.2173646101509276,0.30661505928811544,4.600564918574592
2020-04-30,C_default,0.01,0.01,100.0
2020-05-29,C_default,0.2311707301419737,0.3370016862876082,4.32580716159805
2020-06-30,C_default,0.01,0.01,100.0
2020-07-31,C_default,0.22635968190704023,0.3025246466976077,4.417747858519578
2020-08-31,C_default,0.23037947088937624,0.30214209198847125,4.340664539854685
2020-09-30,C_default,0.23032879286041752,0.30198142443646464,4.341619593369788
2020-10-30,C_default,0.23098090992329703,0.3019907658478402,4.329362111925505
2020-11-30,C_default,0.22964653674267516,0.29606749640498586,4.354518096306088
2020-12-31,C_default,0.2301268520271377,0.2961700877005842,4.345429449850012
2021-01-29,C_default,0.2313096911049717,0.29621042513363316,4.323208401787997
2021-02-26,C_default,0.3333607428246381,0.5099658472200441,2.999753334861155
2021-03-31,C_default,0.2598929033820631,0.39917675937810726,3.847738768495425
2021-04-30,C_default,0.01,0.01,100.0
2021-05-28,C_default,0.20524699574529237,0.32659976830340787,4.872178500683055
2021-06-30,C_default,0.2204410233863473,0.365633794182102,4.536360721966842
2021-07-30,C_default,0.21146453577928062,0.3734603263336615,4.728925331686659
2021-08-31,C_default,0.01,0.01,100.0
2021-09-30,C_default,0.01,0.01,100.0
2021-10-29,C_default,0.01,0.01,100.0
2021-11-30,C_default,0.0737558890987716,0.16326303587915672,13.55823937883565
2021-12-31,C_default,0.01,0.01,100.0
2022-01-31,C_default,0.01,0.01,100.0
2022-02-28,C_default,0.01,0.01,100.0
2022-03-31,C_default,0.01,0.01,100.0
2022-04-29,C_default,0.01,0.01,100.0
2022-05-31,C_default,0.01,0.01,100.0
2022-06-30,C_default,0.01,0.01,100.0
2022-07-29,C_default,0.01,0.01,100.0
2022-08-31,C_default,0.01,0.01,100.0
2022-09-30,C_default,0.01,0.01,100.0
2022-10-31,C_default,0.10581618390893008,0.25499381798033394,9.450350249453738
2022-11-30,C_default,0.01,0.01,100.0
2022-12-30,C_default,0.01,0.01,100.0
2023-01-31,C_default,0.01,0.01,100.0
2023-02-28,C_default,0.01,0.01,100.0
2023-03-31,C_default,0.13720410042721495,0.26023614020298386,7.288411912517785
2023-04-28,C_default,0.1351033286313211,0.23612529487077155,7.4017421341917204
2023-05-31,C_default,0.15854494672479533,0.23611041899759952,6.307359651997076
2023-06-30,C_default,0.15946530585741792,0.23611042321712536,6.270956523258583
2023-07-31,C_default,0.01,0.01,100.0
2023-08-31,C_default,0.01,0.01,100.0
2023-09-29,C_default,0.01,0.01,100.0
2023-10-31,C_default,0.01,0.01,100.0
2023-11-30,C_default,0.01,0.01,100.0
2023-12-29,C_default,0.01,0.01,100.0
2024-01-31,C_default,0.01,0.01,100.0
2024-02-29,C_default,0.01,0.01,100.0
2024-03-28,C_default,0.01,0.01,100.0
2024-04-30,C_default,0.01,0.01,100.0
2024-05-31,C_default,0.01,0.01,100.0
2024-06-28,C_default,0.01,0.01,100.0
2024-07-31,C_default,0.01,0.01,100.0
2024-08-30,C_default,0.01,0.01,100.0
2024-09-30,C_default,0.01,0.01,100.0
2024-10-31,C_default,0.06385565662747074,0.13443830732855547,15.660319740096439
2024-11-29,C_default,0.01,0.01,100.0
2024-12-31,C_default,0.01,0.01,100.0
2020-01-31,C_stable,0.0693504516494206,0.09999999999999999,14.419516761840075
2020-02-28,C_stable,0.08573030859498605,0.09999999999999998,11.664486182177177
2020-03-31,C_stable,0.09016215426640216,0.09999999999999978,11.091128069603345
2020-04-30,C_stable,0.09069804086924002,0.09999999999999987,11.025596478337462
2020-05-29,C_stable,0.09111718344737296,0.09999999999999985,10.974878306873647
2020-06-30,C_stable,0.09506396782154605,0.09999999999999988,10.519232711569526
2020-07-31,C_stable,0.09331967234098205,0.09999999999999976,10.715854170019865
2020-08-31,C_stable,0.0921693909610066,0.09999999999999992,10.84958888817072
2020-09-30,C_stable,0.09345839309389267,0.100000000000004,10.699948574927383
2020-10-30,C_stable,0.09347842427327277,0.0999999999999999,10.697655718678163
2020-11-30,C_stable,0.09457404347889051,0.1,10.573725762536588
2020-12-31,C_stable,0.09381335809022787,0.09999999999999985,10.65946279247588
2021-01-29,C_stable,0.09330912425026298,0.10000000000000002,10.717065539249036
2021-02-26,C_stable,0.0933741196089821,0.09999999999999996,10.7096056614793
2021-03-31,C_stable,0.09071665069172537,0.09999999999999996,11.023334662103151
2021-04-30,C_stable,0.08841730424162711,0.09999999999999996,11.310003268898548
2021-05-28,C_stable,0.08249846729334037,0.09999999999999996,12.12143731645696
2021-06-30,C_stable,0.0754441643575747,0.09999999999999998,13.254835659129395
2021-07-30,C_stable,0.07460629836872097,0.09999999999999996,13.403694083008608
2021-08-31,C_stable,0.06940159717034043,0.09999999999999996,14.40889029607753
2021-09-30,C_stable,0.06332616635032554,0.09992201660697553,15.791260668898195
2021-10-29,C_stable,0.06211162075868389,0.09999999999999998,16.10004678327749
2021-11-30,C_stable,0.061069428953535565,0.09983393424785394,16.374805154324367
2021-12-31,C_stable,0.06186967746968805,0.09999999999999998,16.1630065146199
2022-01-31,C_stable,0.056733062928515834,0.09999999999999996,17.62640598587122
2022-02-28,C_stable,0.05432606239620331,0.10000000000000561,18.407371266979347
2022-03-31,C_stable,0.05427926425986531,0.09999999999999998,18.423241612348292
2022-04-29,C_stable,0.055860833967275876,0.09999999999999998,17.901630337023168
2022-05-31,C_stable,0.07516633445973775,0.09999999999990246,13.3038281989877
2022-06-30,C_stable,0.07896313967130464,0.09999999999999996,12.664136762578629
2022-07-29,C_stable,0.07758681644223331,0.09999999999999996,12.888787629848721
2022-08-31,C_stable,0.07696749998143652,0.10000000000010187,12.992496836212505
2022-09-30,C_stable,0.07152207410397654,0.09999999999999992,13.98169743436455
2022-10-31,C_stable,0.07277731677485266,0.09999999999999994,13.740545053256733
2022-11-30,C_stable,0.07274923159077842,0.1000000000000021,13.74584965550012
2022-12-30,C_stable,0.07712721618331915,0.09999999999999996,12.965591777916096
2023-01-31,C_stable,0.07702444542592343,0.09999999999999996,12.98289126874309
2023-02-28,C_stable,0.0772628565073746,0.09999999999979363,12.94282977881554
2023-03-31,C_stable,0.07751090502319745,0.09999999999999996,12.901410449287363
2023-04-28,C_stable,0.07533295520443416,0.09999999999999998,13.27440291285877
2023-05-31,C_stable,0.06906874532133454,0.09999999999999996,14.478328733895669
2023-06-30,C_stable,0.0676310148526818,0.09999999999999999,14.786115544447528
