date,model,rcvar_train,cvar_holdout,oos_gap
2023-09-29,A_ceil_CVaR,0.020187031415893557,0.011948652948617619,-0.008238378467275938
2023-10-31,A_ceil_CVaR,0.01774707045509704,0.006644773943360483,-0.011102296511736557
2023-11-30,A_ceil_CVaR,0.016807304343373512,0.016768441578510786,-3.886276486272586e-05
2023-12-29,A_ceil_CVaR,0.0160610126138308,0.008063920596718902,-0.0079970920171119
2024-01-31,A_ceil_CVaR,0.01571068284730006,0.0134608738382154,-0.0022498090090846603
2024-02-29,A_ceil_CVaR,0.015328686061168365,0.006084306020955365,-0.009244380040213
2024-03-28,A_ceil_CVaR,0.013081834331645318,0.013241405300435468,0.00015957096879015004
2024-04-30,A_ceil_CVaR,0.009279399941683543,0.011524154231769938,0.0022447542900863957
2024-05-31,A_ceil_CVaR,0.008303762800220006,0.034871000461785456,0.02656723766156545
2024-06-28,A_ceil_CVaR,0.014222685578175938,0.008075450355032203,-0.006147235223143735
2024-07-31,A_ceil_CVaR,0.00929342273221848,0.01431018244435818,0.0050167597121397005
2024-08-30,A_ceil_CVaR,0.01537376582610811,0.010630624850931166,-0.004743140975176944
2024-09-30,A_ceil_CVaR,0.013794642158150239,0.008928428134239014,-0.004866214023911224
2024-10-31,A_ceil_CVaR,0.009802452733149324,0.005969129152179556,-0.0038333235809697675
2024-11-29,A_ceil_CVaR,0.014641073870879873,0.016710338241323258,0.0020692643704433855
2020-01-31,B_fixed_kappa,0.013369373998953677,0.04325859596800351,0.02988922196904983
2020-02-28,B_fixed_kappa,0.018035030788288005,0.08588410701152369,0.06784907622323569
2020-03-31,B_fixed_kappa,0.07609001661204712,0.03938436975700738,-0.036705646855039735
2020-04-30,B_fixed_kappa,0.042420967467941426,0.01963070686847169,-0.022790260599469734
2020-05-29,B_fixed_kappa,0.04014088627992823,0.02139388815313299,-0.01874699812679524
2020-06-30,B_fixed_kappa,0.03970323559132065,0.0062632532872769105,-0.03343998230404374
2020-07-31,B_fixed_kappa,0.04003614906810595,0.013762129219240533,-0.026274019848865418
2020-08-31,B_fixed_kappa,0.03975445426930728,0.019034109265407207,-0.020720345003900072
2020-09-30,B_fixed_kappa,0.039668394988724834,0.02054990085817211,-0.019118494130552725
2020-10-30,B_fixed_kappa,0.03959120359033459,0.013699592825924246,-0.025891610764410346
