date,n_constituents_raw,n_used_t,solve_time,solve_ok,tail_sample_size,top10_weight_sum,max_weight,hhi,dropped_count
2021-11-30,504,484,72.55887770000845,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2021-12-31,504,484,71.75002909998875,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2022-01-31,504,484,71.97019070002716,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2022-02-28,504,484,74.08560019999277,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2022-03-31,504,484,71.47941040003207,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2022-04-29,503,482,74.29408480005804,True,13,0.02074688796680498,0.002074688796680498,0.0020746887966804975,21
2022-05-31,503,483,71.71787649998441,True,13,0.020703933747412008,0.002070393374741201,0.002070393374741201,20
2022-06-30,502,482,73.85274909995496,True,13,0.02074688796680498,0.002074688796680498,0.0020746887966804975,20
2022-07-29,502,483,71.46370589989237,True,13,0.020703933747412008,0.002070393374741201,0.002070393374741201,19
2022-08-31,502,483,71.79856080003083,True,13,0.020703933747412008,0.002070393374741201,0.002070393374741201,19
2022-09-30,502,485,85.82372660003603,True,13,0.020618556701030927,0.002061855670103093,0.0020618556701030924,17
2022-10-31,502,486,71.72721110004932,True,13,0.020576131687242802,0.00205761316872428,0.002057613168724281,16
2022-11-30,502,487,72.09072830004152,True,13,0.02053388090349076,0.002053388090349076,0.002053388090349077,15
2022-12-30,502,487,73.63231609994546,True,13,0.02053388090349076,0.002053388090349076,0.002053388090349077,15
2023-01-31,502,487,79.13810300000478,True,13,0.02053388090349076,0.002053388090349076,0.002053388090349077,15
2023-02-28,502,488,72.90456289995927,True,13,0.020491803278688523,0.0020491803278688526,0.002049180327868852,14
2023-03-31,502,490,76.00585100008175,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-04-28,502,490,75.96996260003652,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-05-31,502,490,73.66004979994614,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-06-30,502,490,85.35164959996473,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-07-31,502,490,73.46165300009307,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-08-31,502,490,73.59200529998634,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-09-29,502,489,73.39746559993364,True,13,0.02044989775051125,0.002044989775051125,0.0020449897750511245,13
2023-10-31,502,490,73.73329290002584,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-11-30,502,490,75.69565200002398,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2023-12-29,502,490,73.51143410010263,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2024-01-31,502,490,73.62217460002284,True,13,0.020408163265306124,0.0020408163265306124,0.0020408163265306124,12
2024-02-29,502,492,73.94121319998521,True,13,0.020325203252032523,0.0020325203252032522,0.0020325203252032527,10
2024-03-28,502,492,74.34281019994523,True,13,0.020325203252032523,0.0020325203252032522,0.0020325203252032527,10
2024-04-30,502,492,74.10253569995984,True,13,0.020325203252032523,0.0020325203252032522,0.0020325203252032527,10
2024-05-31,502,492,73.367110399995,True,13,0.020325203252032523,0.0020325203252032522,0.0020325203252032527,10
2024-06-28,502,494,74.05369770003017,True,13,0.020242914979757082,0.0020242914979757085,0.0020242914979757085,8
2024-07-31,503,495,74.82931209995877,True,13,0.0202020202020202,0.00202020202020202,0.0020202020202020206,8
2024-08-30,503,495,76.63379499991424,True,13,0.0202020202020202,0.00202020202020202,0.0020202020202020206,8
2024-09-30,504,495,74.8520696000196,True,13,0.0202020202020202,0.00202020202020202,0.0020202020202020206,9
2024-10-31,503,494,76.21382499998435,True,13,0.020242914979757082,0.0020242914979757085,0.0020242914979757085,9
2024-11-29,503,495,76.44415090000257,True,13,0.0202020202020202,0.00202020202020202,0.0020202020202020206,8
